cycle,specific_capacity
2,905.040139
3,904.465333
4,904.759194
5,904.747944
6,905.583694
7,910.374417
8,908.389806
9,906.136417
10,906.1425
11,905.580778
12,913.795167
13,906.9905
14,906.712472
15,906.717056
16,905.578694
17,905.862972
18,911.247083
19,906.717889
20,906.421944
21,906.413611
22,906.432222
23,907.266389
24,906.696639
25,906.993833
26,906.426111
27,905.867972
28,907.258944
29,909.854944
30,907.306444
31,907.00425
32,907.820417
33,906.9775
34,912.095833
35,911.234667
36,907.554056
37,908.098861
38,907.8125
39,910.3425
40,916.85575
41,908.667833
42,908.951806
43,908.354028
44,911.224083
45,922.429444
46,913.435694
47,909.779306
48,909.49875
49,909.192639
50,917.1205
51,920.264
52,910.951417
53,912.640694
54,912.049167
55,912.075833
56,919.0725
57,913.706667
58,913.953889
59,912.826583
60,913.6815
61,916.518472
62,914.796806
63,914.243417
64,913.681083
65,913.390694
66,915.37675
67,919.901806
68,915.3705
69,916.18375
70,915.334667
71,916.756528
72,923.518083
73,921.828333
74,918.145139
75,915.855722
76,918.120556
77,930.762833
78,926.5745
79,920.38375
80,920.091139
81,920.643889
